	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recall	nb_of_truth_probes_found	nb_of_truth_probes_in_total
38	pandora_illumina_no_denovo	30x	0	0.0	1.0	38	0.2937500000000001	33.9	48.0	0.5733406567150262	393533.0	686386.0
39	pandora_illumina_no_denovo	30x	0	0.0	1.0	39	0.32045454545454544	29.9	44.0	0.5733348290903371	393529.0	686386.0
40	pandora_illumina_no_denovo	30x	0	0.0	1.0	40	0.3279069767441861	28.9	43.0	0.5733348290903371	393529.0	686386.0
41	pandora_illumina_no_denovo	30x	0	0.0	1.0	41	0.3358974358974359	25.9	39.0	0.5733348290903371	393529.0	686386.0
42	pandora_illumina_no_denovo	30x	0	0.0	1.0	42	0.396969696969697	19.9	33.0	0.5733348290903371	393529.0	686386.0
43	pandora_illumina_no_denovo	30x	0	0.0	1.0	43	0.409375	18.9	32.0	0.5733348290903371	393529.0	686386.0
44	pandora_illumina_no_denovo	30x	0	0.0	1.0	44	0.4172413793103449	16.9	29.0	0.5733348290903371	393529.0	686386.0
45	pandora_illumina_no_denovo	30x	0	0.0	1.0	45	0.444	13.9	25.0	0.5733290014656476	393525.0	686386.0
46	pandora_illumina_no_denovo	30x	0	0.0	1.0	46	0.4782608695652174	12.0	23.0	0.5733290014656476	393525.0	686386.0
47	pandora_illumina_no_denovo	30x	0	0.0	1.0	47	0.4782608695652174	12.0	23.0	0.5733290014656476	393525.0	686386.0
48	pandora_illumina_no_denovo	30x	0	0.0	1.0	48	0.5	11.0	22.0	0.5733290014656476	393525.0	686386.0
49	pandora_illumina_no_denovo	30x	0	0.0	1.0	49	0.5	11.0	22.0	0.5733290014656476	393525.0	686386.0
50	pandora_illumina_no_denovo	30x	0	0.0	1.0	50	0.5	11.0	22.0	0.5733290014656476	393525.0	686386.0
51	pandora_illumina_no_denovo	30x	0	0.0	1.0	51	0.4761904761904762	11.0	21.0	0.5733290014656476	393525.0	686386.0
52	pandora_illumina_no_denovo	30x	0	0.0	1.0	52	0.45	11.0	20.0	0.5733290014656476	393525.0	686386.0
53	pandora_illumina_no_denovo	30x	0	0.0	1.0	53	0.4736842105263158	10.0	19.0	0.5733290014656476	393525.0	686386.0
54	pandora_illumina_no_denovo	30x	0	0.0	1.0	54	0.4444444444444444	10.0	18.0	0.5733275445594753	393524.0	686386.0
55	pandora_illumina_no_denovo	30x	0	0.0	1.0	55	0.4117647058823529	10.0	17.0	0.5733275445594753	393524.0	686386.0
56	pandora_illumina_no_denovo	30x	0	0.0	1.0	56	0.2857142857142857	10.0	14.0	0.5733275445594753	393524.0	686386.0
57	pandora_illumina_no_denovo	30x	0	0.0	1.0	57	0.23076923076923075	10.0	13.0	0.5733275445594753	393524.0	686386.0
58	pandora_illumina_no_denovo	30x	0	0.0	1.0	58	0.1818181818181817	9.0	11.0	0.5733275445594753	393524.0	686386.0
59	pandora_illumina_no_denovo	30x	0	0.0	1.0	59	0.11111111111111116	8.0	9.0	0.5733275445594753	393524.0	686386.0
60	pandora_illumina_no_denovo	30x	0	0.0	1.0	60	0.11111111111111116	8.0	9.0	0.5733275445594753	393524.0	686386.0
61	pandora_illumina_no_denovo	30x	0	0.0	1.0	61	0.11111111111111116	8.0	9.0	0.5733275445594753	393524.0	686386.0
62	pandora_illumina_no_denovo	30x	0	0.0	1.0	62	0.11111111111111116	8.0	9.0	0.5733275445594753	393524.0	686386.0
63	pandora_illumina_no_denovo	30x	0	0.0	1.0	63	0.11111111111111116	8.0	9.0	0.5733275445594753	393524.0	686386.0
64	pandora_illumina_no_denovo	30x	0	0.0	1.0	64	0.125	7.0	8.0	0.5733275445594753	393524.0	686386.0
65	pandora_illumina_no_denovo	30x	0	0.0	1.0	65	0.1428571428571429	6.0	7.0	0.5733275445594753	393524.0	686386.0
66	pandora_illumina_no_denovo	30x	0	0.0	1.0	66	0.1428571428571429	6.0	7.0	0.5733275445594753	393524.0	686386.0
67	pandora_illumina_no_denovo	30x	0	0.0	1.0	67	0.1428571428571429	6.0	7.0	0.5733275445594753	393524.0	686386.0
68	pandora_illumina_no_denovo	30x	0	0.0	1.0	68	0.1428571428571429	6.0	7.0	0.5733275445594753	393524.0	686386.0
69	pandora_illumina_no_denovo	30x	0	0.0	1.0	69	0.1428571428571429	6.0	7.0	0.5733275445594753	393524.0	686386.0
70	pandora_illumina_no_denovo	30x	0	0.0	1.0	70	0.1428571428571429	6.0	7.0	0.5733275445594753	393524.0	686386.0
